Smiles,(-[CH]([CH3])[OH])-,(-[CH2][CH2][OH])-,(-[CH2][CH2][CH2][CH3])-,(-[O][CH]([CH3])[O]-)-,(-[O][CH2][CH3])-,(-[CH](-)[CH3])-,(-[cH][cH]-)arom,(-[c](-)[cH]-)arom,(-[CH2][CH2][CH2][CH2]-)ring,(a[c]([CH3])[c](a)[CH3])mixd,(a[cH][c](a)[CH3])mixd,(-[CH2][CH2][CH2][CH2][CH3])-,(-[CH2][O][C](-)=[O])-,(-[C](=[O])[O][CH](-)-)-,(-[CH2][CH]([CH2][O]-)[O]-)-,(-[C](=[O])[CH2][CH3])-,(-[CH2][CH2][CH3])-,(-[O][CH2][CH](-)[O]-)-,(-[C](=[O])[CH2][CH2][CH3])-,(-[CH2][CH2][O][CH3])-,(-[O][CH2][CH2][O]-)-,(-[CH2][CH2]-)-,(-[O][CH3])-,(-[CH2][CH3])-,(-[CH]1[CH2][O]1)ring,(-[C]([CH3])=[O])-,(-[CH2][OH])-,(r[CH2][CH](r)[CH3])mixd,(-[CH2][CH2]-)ring,(-[CH2][O]-)ring,(-[CH]=[CH2])-,(-[CH2][CH2][CH2]-)-,(-[CH2][O][CH2][CH3])-,(-[CH2][CH2][CH]=[CH2])-,(-[CH2][CH2][CH2][CH2]-)-,(-[CH2][CH]=[CH2])-,(a[cH][cH][c](a)[CH3])mixd,(-[c](-)[cH][cH]-)arom,(-[CH]([CH3])[CH3])-,(r[CH]=[C](r)[CH3])mixd,(-[cH][cH][cH][cH]-)arom,(-[CH2][CH2][CH2][CH2][CH2]-)-,(-[c]1[cH][cH][cH][cH][cH]1)arom,(-[CH2][CH2][CH2][CH2][CH2][CH3])-,(-[CH2][CH2][CH2][CH2][CH2][CH2]-)-,(-[c]([cH]-)[cH]-)arom,(-[cH][cH][cH]-)arom,(-[CH2][CH2][CH2][CH2][CH2][CH2][CH3])-,(-[O][CH2][CH]([CH3])[OH])-,(-[CH2][O][CH3])-,(-[CH2][O]-)-,(-[C]([CH3])([CH3])[CH3])-,(-[CH]([CH3])[CH2][CH3])-,(-[CH2][CH](-)[CH3])-,(-[CH2][C](-)([CH3])[CH3])-,(-[CH2][C]([CH3])([CH3])[CH3])-,(-[CH2][CH]([CH3])[CH3])-,(r[C](r)([CH3])[CH3])mixd,(-[CH2][CH2][CH](-)[CH3])-,(-[CH]([CH3])[CH2][CH]([CH3])[CH3])-,(-[CH2][CH]([CH3])[CH2]-)-,(-[CH2][C]([CH3])=[O])-,(-[C](-)=[O])-,(-[O][CH2][CH2][OH])-,(-[CH2][CH2][O]-)-,(-[CH](-)[OH])-,(-[CH](-)[CH2][CH3])-,(-[CH](-)[CH2][OH])-,(-[C](=[O])[OH])-,(-[CH]([CH2][CH3])[CH2][CH2][CH2][CH3])-,(-[CH]=[O])-,(-[c]1[cH][cH][cH][o]1)arom,(-[C](=[CH2])[CH3])-,(-[CH2][CH]([CH3])[OH])-,(-[C]([CH3])([CH3])[OH])-,(-[CH]=[CH][CH3])-,(-[O][C](-)=[O])-,(-[CH2][CH](-)[CH2][CH2][CH3])-,(-[C](-)([CH3])[CH3])-,(-[C](-)(-)[OH])-,(r[CH](r)[CH3])mixd,(-[CH]=[CH]-)ring,(a[cH][c](a)[CH2][CH3])mixd,(-[O][C]([CH3])=[O])-,(-[CH2][O][C]([CH3])=[O])-,(a[c](a)[CH2][OH])mixd,(-[CH]1[CH2][CH2][CH2][CH2][CH2]1)ring,(-[c]1[cH][cH][cH][cH][c]1-)arom,(-[CH2][CH2][CH2][O][C](-)=[O])-,(-[CH2][CH](r)r)mixd,(-[CH2][CH2][CH2]-)ring,(-[CH]1[CH2][CH2][CH2][CH2]1)ring,(-[CH2][CH]([CH3])[O]-)-,(r[CH](r)[OH])mixd,(-[CH]=[CH]-)-,(r[CH2][CH](r)[OH])mixd,(r[C](r)=[O])mixd,(-[CH2][CH](-)-)ring,(-[CH2][CH2][C](-)=[O])-,(-[O][CH2][CH](-)[CH2][CH3])-,(-[C](=[O])[O][CH2][CH3])-,(-[CH2][CH2][CH2][OH])-,(-[CH2][C]([CH3])([CH3])[OH])-,(-[CH2][O][CH2]-)-,(-[O][CH2][CH2][CH2][CH3])-,(-[CH2][C](-)=[O])-,(-[CH2][CH2][CH2][C](-)=[O])-,(-[CH2][CH2][CH2][O]-)-,(-[CH2][CH2][O][CH2]-)-,(-[CH2][O][C](=[O])[CH2]-)-,(-[CH2][C](=[O])[O]-)-,(-[O][CH2][CH2][CH]([CH3])[CH3])-,(-[CH2][CH2][CH]([CH3])[CH3])-,(-[O][CH]([CH3])[CH3])-,(-[C](=[O])[O][CH3])-,(-[O][CH2][CH2][CH3])-,(-[C](=[O])[O][CH](-)[CH3])-,(-[O][CH](-)[CH3])-,(-[CH2][CH2][CH2][CH2][O]-)-,(-[CH](-)[O][CH2][CH3])-,(a[c](a)[CH2][CH3])mixd,(r[CH](r)[CH2][CH3])mixd,(-[CH](-)[CH2]-)ring,(a[cH][c](a)[OH])mixd,(a[cH][c](a)[O][CH3])mixd,(-[cH][o]-)arom,(-[CH2][CH]([CH3])[CH2][CH3])-,(-[O][CH]=[O])-,(-[CH]([CH2]-)[CH2]-)ring,(r[CH2][C](r)([CH3])[CH3])mixd,(-[CH2][CH2][CH2][CH]([CH3])[CH3])-,(-[C](=[O])[O][CH]([CH3])[CH3])-,(-[CH](-)[CH2][CH2]-)ring,(-[CH]=[C]([CH3])[CH3])-,(a[c](a)[O][CH3])mixd,(-[CH]=[CH][CH2][CH2]-)-,(-[c](a)[c](a)[OH])mixd,(-[O][CH2][C](-)([CH3])[CH3])-,(-[CH2][CH](r)[CH2]r)mixd,(-[CH2][CH]1[CH2][CH2][CH2][CH2]1)mixd,(-[CH2][CH2][C](=[O])[OH])-,(-[CH]=[CH][CH2]-)-,(r[O][CH](r)[CH3])mixd,(-[CH2][CH](-)[C](-)=[O])-,(-[O][CH2][CH2][CH2][CH2][CH2][CH3])-,(-[O][CH2][CH2][CH2][CH2][CH3])-,(-[C](=[O])[CH2][CH](-)-)-,(-[C](=[O])[O][CH2][CH2][CH3])-,(-[CH2][CH]([CH2][CH3])[CH2][CH2][CH2][CH3])-,(-[O][CH2][CH2][CH2][O]-)-,(-[CH](-)[O]-)ring,(-[CH2][CH2][O]-)ring,(r[CH](r)[CH2][OH])mixd,(-[CH2][CH](-)[CH](-)-)ring,(-[C](=[O])[O][CH2][CH](-)-)-,(-[O][CH]=[CH2])-,Temp,Modularity
C=CCOC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.15,0.3984375
CCCCOC=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.15,0.37755102
CC(=O)OCc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.15,0.397777778
CCOC(=O)C(=O)OCC,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.15,0.475206612
CCC(=O)OC(=O)CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.15,0.415
CCCC(=O)OC(=O)CCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.15,0.489583333
OCc1ccco1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.15,0.193905817
CCOCC(C)O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.15,0.319444444
CCOC(=O)C(C)O,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.15,0.4140625
COCCOCCO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.15,0.357142857
CCOC(=O)CC(C)=O,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.15,0.455
OCCOCCOCCOCCO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.15,0.496527778
